prb0.0005
2025-05-14 13:12:16
Dł. fali (nm);Absorbancja
441,00;-0,041365
440,00;-0,046092
439,00;-0,047989
438,00;-0,042914
437,00;-0,042357
436,00;-0,045556
435,00;-0,039132
434,00;-0,044411
433,00;-0,042273
432,00;-0,046340
431,00;-0,045008
430,00;-0,055338
429,00;-0,046319
428,00;-0,043479
427,00;-0,046687
426,00;-0,047563
425,00;-0,047030
424,00;-0,049338
423,00;-0,045479
422,00;-0,048013
421,00;-0,047968
420,00;-0,051093
419,00;-0,050467
418,00;-0,045678
417,00;-0,052459
416,00;-0,047911
415,00;-0,051892
414,00;-0,045877
413,00;-0,053517
412,00;-0,039644
411,00;-0,050616
410,00;-0,044831
409,00;-0,046479
408,00;-0,049612
407,00;-0,042190
406,00;-0,044293
405,00;-0,049426
404,00;-0,041402
403,00;-0,043215
402,00;-0,044356
401,00;-0,041450
400,00;-0,036440


prb0.0002
2025-05-14 13:19:19
Dł. fali (nm);Absorbancja
750,00;-0,081340
749,00;-0,075318
748,00;-0,077293
747,00;-0,076218
746,00;-0,076510
745,00;-0,075923
744,00;-0,079492
743,00;-0,077743
742,00;-0,077858
741,00;-0,075894
740,00;-0,078424
739,00;-0,076792
738,00;-0,076803
737,00;-0,077516
736,00;-0,078444
735,00;-0,081002
734,00;-0,075409
733,00;-0,076131
732,00;-0,079615
731,00;-0,077749
730,00;-0,077561
729,00;-0,081488
728,00;-0,078723
727,00;-0,082208
726,00;-0,081697
725,00;-0,080202
724,00;-0,082317
723,00;-0,078504
722,00;-0,081843
721,00;-0,080347
720,00;-0,080959
719,00;-0,082701
718,00;-0,082542
717,00;-0,084458
716,00;-0,084153
715,00;-0,082992
714,00;-0,084827
713,00;-0,082218
712,00;-0,083682
711,00;-0,083623
710,00;-0,082567
709,00;-0,083572
708,00;-0,083407
707,00;-0,084977
706,00;-0,081897
705,00;-0,083597
704,00;-0,084183
703,00;-0,083597
702,00;-0,084178
701,00;-0,081857
700,00;-0,082019
699,00;-0,082363
698,00;-0,085511
697,00;-0,084331
696,00;-0,081372
695,00;-0,083196
694,00;-0,082735
693,00;-0,083772
692,00;-0,082294
691,00;-0,081484
690,00;-0,080485
689,00;-0,084010
688,00;-0,080530
687,00;-0,084334
686,00;-0,082478
685,00;-0,080605
684,00;-0,079816
683,00;-0,080760
682,00;-0,084279
681,00;-0,081300
680,00;-0,081245
679,00;-0,080219
678,00;-0,079722
677,00;-0,082701
676,00;-0,081488
675,00;-0,082408
674,00;-0,083037
673,00;-0,080898
672,00;-0,081387
671,00;-0,079461
670,00;-0,080368
669,00;-0,079583
668,00;-0,078864
667,00;-0,079343
666,00;-0,077173
665,00;-0,077154
664,00;-0,080596
663,00;-0,080183
662,00;-0,079662
661,00;-0,077252
660,00;-0,077046
659,00;-0,077884
658,00;-0,078458
657,00;-0,073151
656,00;-0,078223
655,00;-0,073740
654,00;-0,076745
653,00;-0,078106
652,00;-0,072726
651,00;-0,075026
650,00;-0,073734
649,00;-0,076207
648,00;-0,073311
647,00;-0,073009
646,00;-0,075619
645,00;-0,073942
644,00;-0,074996
643,00;-0,075684
642,00;-0,072377
641,00;-0,071714
640,00;-0,069956
639,00;-0,073083
638,00;-0,068436
637,00;-0,071553
636,00;-0,070998
635,00;-0,071851
634,00;-0,070128
633,00;-0,071467
632,00;-0,070401
631,00;-0,070949
630,00;-0,068984
629,00;-0,069729
628,00;-0,072213
627,00;-0,070722
626,00;-0,072266
625,00;-0,072285
624,00;-0,069766
623,00;-0,064729
622,00;-0,070424
621,00;-0,069450
620,00;-0,069533
619,00;-0,068136
618,00;-0,070720
617,00;-0,069868
616,00;-0,070705
615,00;-0,069295
614,00;-0,064586
613,00;-0,070666
612,00;-0,068109
611,00;-0,065796
610,00;-0,065948
609,00;-0,067716
608,00;-0,066961
607,00;-0,066194
606,00;-0,066802
605,00;-0,064223
604,00;-0,064798
603,00;-0,064968
602,00;-0,065492
601,00;-0,067085
600,00;-0,065326
599,00;-0,063263
598,00;-0,063108
597,00;-0,060495
596,00;-0,064171
595,00;-0,061306
594,00;-0,060952
593,00;-0,061495
592,00;-0,062051
591,00;-0,057897
590,00;-0,055470
589,00;-0,054750
588,00;-0,053911
587,00;-0,049891
586,00;-0,050409
585,00;-0,045255
584,00;-0,040881
583,00;-0,036450
582,00;-0,033062
581,00;-0,026792
580,00;-0,022833
579,00;-0,013769
578,00;-0,006105
577,00;0,003994
576,00;0,011494
575,00;0,021446
574,00;0,031247
573,00;0,037129
572,00;0,042168
571,00;0,048142
570,00;0,053869
569,00;0,058340
568,00;0,063223
567,00;0,062324
566,00;0,063356
565,00;0,060800
564,00;0,059446
563,00;0,062576
562,00;0,059263
561,00;0,062903
560,00;0,062418
559,00;0,068905
558,00;0,074307
557,00;0,083175
556,00;0,086942
555,00;0,097850
554,00;0,106490
553,00;0,117799
552,00;0,129034
551,00;0,141392
550,00;0,155498
549,00;0,164960
548,00;0,171065
547,00;0,180155
546,00;0,177846
545,00;0,181280
544,00;0,182047
543,00;0,174578
542,00;0,170032
541,00;0,162202
540,00;0,154178
539,00;0,150557
538,00;0,147571
537,00;0,146439
536,00;0,140500
535,00;0,143084
534,00;0,143917
533,00;0,147785
532,00;0,153214
531,00;0,158783
530,00;0,170705
529,00;0,176218
528,00;0,179569
527,00;0,183438
526,00;0,188825
525,00;0,187266
524,00;0,185144
523,00;0,180878
522,00;0,173238
521,00;0,165140
520,00;0,161704
519,00;0,153964
518,00;0,143125
517,00;0,129831
516,00;0,123747
515,00;0,118471
514,00;0,114677
513,00;0,112602
512,00;0,113539
511,00;0,112614
510,00;0,113599
509,00;0,117672
508,00;0,117355
507,00;0,117820
506,00;0,120634
505,00;0,114795
504,00;0,111021
503,00;0,106840
502,00;0,099953
501,00;0,092581
500,00;0,080666
499,00;0,075115
498,00;0,069171
497,00;0,059585
496,00;0,054070
495,00;0,048612
494,00;0,044972
493,00;0,042122
492,00;0,041537
491,00;0,034225
490,00;0,037167
489,00;0,038262
488,00;0,034395
487,00;0,025852
486,00;0,027711
485,00;0,023965
484,00;0,019767
483,00;0,010707
482,00;0,007746
481,00;0,002906
480,00;-0,004441
479,00;-0,010888
478,00;-0,011690
477,00;-0,015637
476,00;-0,021840
475,00;-0,026309
474,00;-0,027252
473,00;-0,027766
472,00;-0,025474
471,00;-0,034303
470,00;-0,029608
469,00;-0,035523
468,00;-0,036564
467,00;-0,039104
466,00;-0,043729
465,00;-0,045635
464,00;-0,050386
463,00;-0,053818
462,00;-0,053483
461,00;-0,052790
460,00;-0,056043
459,00;-0,061580
458,00;-0,064401
457,00;-0,063467
456,00;-0,065117
455,00;-0,066273
454,00;-0,068815
453,00;-0,063315
452,00;-0,069547
451,00;-0,072453
450,00;-0,075458
449,00;-0,075598
448,00;-0,071562
447,00;-0,076058
446,00;-0,077108
445,00;-0,082077
444,00;-0,080313
443,00;-0,081072
442,00;-0,078502
441,00;-0,083730
440,00;-0,086040
439,00;-0,088386
438,00;-0,084745
437,00;-0,082816
436,00;-0,085377
435,00;-0,082224
434,00;-0,086432
433,00;-0,084678
432,00;-0,089968
431,00;-0,086670
430,00;-0,095277
429,00;-0,089223
428,00;-0,083023
427,00;-0,089281
426,00;-0,087340
425,00;-0,088533
424,00;-0,089614
423,00;-0,087421
422,00;-0,088855
421,00;-0,088286
420,00;-0,093945
419,00;-0,092231
418,00;-0,087827
417,00;-0,090128
416,00;-0,092155
415,00;-0,092627
414,00;-0,090498
413,00;-0,093323
412,00;-0,083141
411,00;-0,093953
410,00;-0,086388
409,00;-0,089764
